,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
310,pisco,20,PE,1590338749,77,-13.7,-76.22,66.99,8.05
311,palaikastron,0,GR,1590338524,25,35.2,26.25,75.0,15.01
312,senanga,0,ZM,1590338749,38,-16.12,23.27,66.9,3.4
313,safaga,0,EG,1590338749,31,26.73,33.94,77.0,26.4
314,tevriz,93,RU,1590338749,79,57.51,72.4,58.35,6.17
315,bapatla,1,IN,1590338749,85,15.9,80.47,84.78,10.67
316,ilulissat,64,GL,1590338749,74,69.22,-51.1,35.6,5.82
317,araria,44,IN,1590338749,75,26.15,87.52,83.43,13.18
318,morgantown,40,US,1590338599,77,39.63,-79.96,73.0,8.05
319,bengkulu,49,ID,1590338749,84,-3.8,102.27,78.13,4.65
320,bure,71,ET,1590338749,82,10.7,37.07,64.54,4.47
321,puerto escondido,0,ES,1590338750,37,36.59,-6.23,91.4,13.87
322,mount isa,64,GB,1590338725,72,53.66,-1.85,61.0,4.0
323,wexford,2,IE,1590338750,77,52.33,-6.46,61.0,17.22
324,narasannapeta,34,IN,1590338750,81,18.42,84.05,83.77,9.42
325,tha mai,85,LA,1590338750,90,14.96,105.72,77.81,2.53
326,sao miguel do oeste,0,IN,1590338736,16,20.51,76.21,92.52,11.14
327,neuquen,97,AR,1590338750,49,-38.95,-68.06,69.8,11.41
328,plaza de caisan,65,PL,1590338750,54,50.1,19.46,59.0,13.87
329,mana,100,GF,1590338751,86,5.66,-53.78,81.48,7.38
330,isla mujeres,100,PH,1590338751,75,15.89,120.3,81.3,2.66
331,naze,40,JP,1590338751,94,28.37,129.48,71.6,6.93
332,port blair,0,CD,1590338751,57,-7.03,29.76,73.85,3.96
333,tessalit,0,ML,1590338751,9,20.2,1.01,98.55,13.44
334,san carlos,16,ML,1590338751,9,13.3,-4.9,103.17,3.33
335,jining,100,CN,1590338751,36,35.41,116.58,71.35,2.98
336,olafsvik,100,IS,1590338751,72,64.89,-23.71,45.81,17.74
337,vila velha,20,PT,1590338751,54,42.03,-8.16,81.0,3.36
338,flinders,35,AU,1590338751,74,-34.58,150.86,55.99,7.0
339,moerai,1,PF,1590338751,81,-22.43,-151.33,77.27,19.1
340,haverfordwest,5,GB,1590338752,82,51.8,-4.97,59.0,24.16
341,lugovoy,0,KZ,1590338752,53,42.95,72.76,65.25,7.9
342,miri,75,MY,1590338752,94,4.41,114.01,78.8,3.36
343,lamu,70,KE,1590338752,81,-2.27,40.9,80.02,17.72
344,sakakah,0,SA,1590338752,19,29.97,40.21,78.8,23.04
345,guanare,96,VE,1590338752,59,9.04,-69.74,89.02,5.32
346,arraial do cabo,40,BR,1590338752,67,-22.84,-46.65,64.99,6.93
347,chernyshevskiy,72,RU,1590338752,51,63.01,112.47,61.3,1.72
348,baijiantan,0,CN,1590338752,22,45.63,85.18,77.07,3.6
349,esperance,90,AU,1590338753,58,-33.87,121.9,55.4,10.29
350,alofi,56,NU,1590338753,100,-19.06,-169.92,69.8,2.24
351,inverness,96,GB,1590338753,76,57.48,-4.22,57.99,17.22
352,ancud,75,CL,1590338753,76,-41.87,-73.82,53.6,6.93
353,salair,94,RU,1590338753,91,54.23,85.8,55.42,1.43
354,brazzaville,20,CG,1590338753,62,-4.27,15.28,89.6,5.82
355,salinas,1,US,1590338753,67,36.68,-121.66,64.0,4.7
356,nuuk,90,GL,1590338743,80,64.18,-51.72,39.2,10.29
357,mettet,100,BE,1590338753,67,50.32,4.66,61.0,10.29
358,mayo,90,US,1590338753,77,38.89,-76.51,64.0,8.05
359,chokurdakh,100,RU,1590338754,96,70.63,147.92,32.92,6.38
360,amuntai,29,ID,1590338754,97,-2.42,115.25,75.56,1.1
361,grand gaube,1,US,1590338599,28,38.88,-109.5,61.0,5.82
362,solnechnyy,49,RU,1590338754,79,50.72,136.63,40.5,6.15
363,pathalgaon,67,IN,1590338754,19,22.57,83.47,89.91,2.71
364,trairi,2,BR,1590338754,73,-3.28,-39.27,84.63,7.92
365,bilibino,36,RU,1590338754,91,68.05,166.44,23.74,4.54
366,tricase,5,IT,1590338754,82,39.93,18.36,82.0,8.05
367,manokwari,95,ID,1590338754,76,-0.87,134.08,80.31,2.73
368,catalina,3,US,1590338755,23,32.51,-110.92,80.01,1.99
369,maraba,40,BR,1590338755,63,-5.37,-49.12,91.4,5.82
370,acarau,13,BR,1590338755,76,-2.89,-40.12,84.15,9.86
371,kutum,59,SD,1590338755,25,14.2,24.67,86.74,8.37
372,huarmey,77,PE,1590338755,66,-10.07,-78.15,71.53,8.48
373,colombo,40,LK,1590338755,94,6.93,79.85,84.2,9.17
374,grand baie,1,US,1590338599,28,38.88,-109.5,61.0,5.82
375,cockburn town,90,AU,1590338755,75,-32.08,141.0,46.4,12.75
376,zakamensk,92,RU,1590338755,76,50.37,103.29,46.69,3.51
377,noumea,90,NC,1590338743,88,-22.28,166.46,73.0,6.93
378,karera,8,IN,1590338755,12,25.47,78.15,96.42,7.45
379,narsaq,40,GL,1590338756,18,60.92,-46.05,59.0,11.41
380,meulaboh,100,ID,1590338756,93,4.14,96.13,76.8,8.48
381,talcahuano,90,CL,1590338756,87,-36.72,-73.12,60.8,2.24
382,saint-augustin,1,CA,1590338756,43,51.23,-58.65,52.25,9.13
